Job Title,Company Name,"City, State",City,State
Data Analyst,HelloFresh,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,UST,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,CGI,"Edmonton,  Alberta",Edmonton, Alberta
Data Analyst,Bayshore HealthCare,"Mississauga,  Ontario",Mississauga, Ontario
Data Analyst,NMG Consulting,"Toronto,  Ontario",Toronto, Ontario
Business Intelligence (BI) Analyst,Robert Half,"Edmonton,  Alberta",Edmonton, Alberta
Data Analyst,O2E Brands,"North York,  Ontario",North York, Ontario
Data Entry and Analysis Specialist - Bank/Finance,Collabera,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,MT Talent Solutions Inc.,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,Services SFT,"Saint-Laurent,  Manitoba",Saint-Laurent, Manitoba
Data Analyst,BGIS,"Toronto,  Ontario",Toronto, Ontario
"Data Analyst, Compliance and AML, Data Analytics [Scotiabank]",Scotiabank,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,Actalent,"North Vancouver,  British Columbia",North Vancouver, British Columbia
Data Analyst,Trellis Society,"Calgary,  Alberta",Calgary, Alberta
ICQA Data Analyst,myGwork - LGBTQ+ Business Community,"St Thomas,  Ontario",St Thomas, Ontario
Statistical Data Analyst,York Region (The Regional Municipality of York),"Newmarket,  Ontario",Newmarket, Ontario
AML Data Entry Analyst (Junior),KPMG Canada,"Toronto,  Ontario",Toronto, Ontario
Data Analyst,Gateway Casinos and Entertainment Limited,"Burnaby,  British Columbia",Burnaby, British Columbia
Part-time Data Quality Analyst (Fraud Investigation),owl.co,"Toronto,  Ontario",Toronto, Ontario
Entry Level Data Analyst (Rebel Apparel),BCJobs,"Vancouver,  British Columbia",Vancouver, British Columbia
Healthcare Research Data Analyst- Medtech Insights,Clarivate,"Toronto,  Ontario",Toronto, Ontario
Business Intelligence Analyst,FirstPrinciples,"Toronto,  Ontario",Toronto, Ontario
Business Intelligence Analyst,Longbow Advantage,"Mississauga,  Ontario",Mississauga, Ontario
Remote Data Analyst (Rebel Apparel),BCJobs,"Vancouver,  British Columbia",Vancouver, British Columbia
Associate Data Scientist,Circle K,"Scarborough,  Ontario",Scarborough, Ontario
